seed,outcome,model,variant,acc_mean,acc_std,f1_mean,f1_std,auc_mean
5,PerfScore,LR,without,0.278,0.014696938456699067,0.3596538542261448,0.01967002318369412,
5,PerfScore,LR,with,0.3046666666666667,0.012036980056845191,0.38605299102282353,0.01502980443050538,
5,PerfScore,RF,without,0.7430000000000001,0.0054160256030906335,0.6895237199437304,0.004557623813322281,
5,PerfScore,RF,with,0.7376666666666667,0.009580071908799939,0.6889700143501523,0.009303585202319496,
5,PayZone_encoded,LR,without,0.308,0.0147346907368669,0.30362643794633193,0.01646479139879503,
5,PayZone_encoded,LR,with,0.321,0.008537498983243798,0.31731563727579515,0.008789191836862463,
5,PayZone_encoded,RF,without,0.32566666666666666,0.02056426242024958,0.32469099548852615,0.021203034589287656,
5,PayZone_encoded,RF,with,0.32333333333333336,0.02892519086655553,0.3230577604928745,0.02854080982960339,
5,PayZone_encoded,XGB,without,0.32299999999999995,0.017931970208417015,0.3220237641963615,0.017822096036249548,
5,PayZone_encoded,XGB,with,0.33199999999999996,0.022120880030716085,0.3304906551955807,0.023192520037292975,
5,SeniorityLevel,LR,without,0.789,0.04795368135561185,0.8619539736529018,0.0319110039837639,
5,SeniorityLevel,LR,with,0.8496666666666666,0.01484737163421338,0.8947557266338648,0.006577416931518186,
5,SeniorityLevel,RF,without,0.9460000000000001,0.007348469228349545,0.9390918081436288,0.007999152272361379,
5,SeniorityLevel,RF,with,0.967,0.005906681715556468,0.9664880995818177,0.00599905002772392,
5,is_minority_dept,LR,without,0.5093333333333334,0.014126413400278055,0.5096245321420512,0.015963070352891125,0.5462355798421372
5,is_minority_dept,LR,with,0.5363333333333333,0.022494443758403995,0.5408594693916345,0.022252621203108943,0.5555345383214235
5,is_minority_dept,RF,without,0.5993333333333334,0.012183777921664717,0.5866755058901882,0.010856812464597148,0.5768553547242072
5,is_minority_dept,RF,with,0.5970000000000001,0.0064463598686046,0.586115166111792,0.005284081653771038,0.5868490495539677
5,is_minority_dept,XGB,without,0.6116666666666666,0.01027402333828161,0.5877541383867488,0.012271138885973235,0.5955116528887021
5,is_minority_dept,XGB,with,0.626,0.01067707825203132,0.5993824284978603,0.011731401333854474,0.6054983419737519
6,is_terminated,LR,without,0.72,0.012605113600792691,0.7645749190274239,0.010124302032747813,0.8007488265795775
6,is_terminated,LR,with,0.692,0.01322455628325158,0.7425191306274597,0.010617162077569485,0.8150634269725059
6,is_terminated,RF,without,0.8536666666666666,0.007102425250887507,0.8254340191241012,0.01071069388107964,0.8286947997388427
6,is_terminated,RF,with,0.8533333333333333,0.012427567921538185,0.831043397871111,0.014480339093449807,0.8368789955029816
6,is_terminated,XGB,without,0.8513333333333334,0.011175369742826808,0.8208947512511449,0.015868979787333214,0.8388956061996214
6,is_terminated,XGB,with,0.859,0.00910433352249845,0.8336698534378693,0.010729716759233428,0.8486114457203005
6,PerfScore,LR,without,0.27166666666666667,0.01531157877047446,0.35180474778466936,0.016660738619283192,
6,PerfScore,LR,with,0.301,0.021044925490219454,0.3809747307132215,0.021529302554666584,
6,PerfScore,RF,without,0.7433333333333334,0.012292725943057192,0.6864970933422836,0.007821758417219861,
6,PerfScore,RF,with,0.7416666666666667,0.012780193008453863,0.6887316123258345,0.00840969931480891,
6,PayZone_encoded,LR,without,0.311,0.014204850501775019,0.30788707918665137,0.014992589136906336,
6,PayZone_encoded,LR,with,0.3046666666666667,0.011224972160321808,0.30212454624000634,0.008967838658012102,
6,PayZone_encoded,RF,without,0.3313333333333333,0.0140396264591018,0.3307078657439388,0.014138523208972836,
6,PayZone_encoded,RF,with,0.32499999999999996,0.010903618155864086,0.3243519734968642,0.010495999930216868,
6,PayZone_encoded,XGB,without,0.316,0.010984838035522715,0.3148364168158127,0.009892751831400471,
6,PayZone_encoded,XGB,with,0.3076666666666667,0.00696020433927371,0.3059258665540136,0.006877757012432029,
6,SeniorityLevel,LR,without,0.8196666666666668,0.03164736253711446,0.88190257944141,0.019943692765326322,
6,SeniorityLevel,LR,with,0.8436666666666668,0.019275776393067948,0.8914961559967025,0.011975513834632249,
6,SeniorityLevel,RF,without,0.9443333333333334,0.005011098792790976,0.938103072454982,0.00509227330421814,
6,SeniorityLevel,RF,with,0.9653333333333334,0.008781293248213012,0.9646515147688073,0.009083802052949798,
6,is_minority_dept,LR,without,0.5106666666666666,0.02281812145349978,0.5114677261688485,0.02589712757967695,0.5432616412124609
6,is_minority_dept,LR,with,0.5466666666666666,0.015563490039904988,0.5500191127526227,0.014259844261826204,0.5517829620288637
6,is_minority_dept,RF,without,0.6026666666666667,0.014047538337136952,0.5902758144780454,0.01721814389263603,0.583390546915137
6,is_minority_dept,RF,with,0.606,0.009225568335398684,0.5949339582910241,0.01169151422061024,0.5904955396758675
6,is_minority_dept,XGB,without,0.6136666666666667,0.014275075403575902,0.5889082392535514,0.01691697094161611,0.5941607117836625
6,is_minority_dept,XGB,with,0.6193333333333333,0.008069145624606776,0.5943611660074253,0.009798156834664378,0.6029844472467423
7,is_terminated,LR,without,0.7213333333333334,0.012666666666666649,0.765653742994113,0.010050167511837696,0.8024016556422439
7,is_terminated,LR,with,0.6916666666666667,0.004346134936801738,0.7423114133820007,0.003598356406740939,0.8174044906325516
7,is_terminated,RF,without,0.8536666666666667,0.0035590260840104087,0.8234376275016352,0.0034043017234883866,0.8295546587529181
7,is_terminated,RF,with,0.8496666666666666,0.007774602526460405,0.8278959877124791,0.008065730011746387,0.8391838468435686
7,is_terminated,XGB,without,0.8556666666666667,0.0063770421565696525,0.8260648689864493,0.004149131020319795,0.8386531514242993
7,is_terminated,XGB,with,0.8546666666666667,0.008589399151150078,0.8258780267293201,0.008904385560450605,0.8492690275788449
7,PerfScore,LR,without,0.2733333333333333,0.013784048752090218,0.3552108173160937,0.014740912302284465,
7,PerfScore,LR,with,0.315,0.00823272602348565,0.39638471865612834,0.006768733808206533,
7,PerfScore,RF,without,0.7386666666666667,0.008844332774281054,0.6841854487575574,0.005752612980748352,
7,PerfScore,RF,with,0.7426666666666666,0.008856886837057617,0.6911006467486607,0.007545222504558874,
7,PayZone_encoded,LR,without,0.30666666666666664,0.013662601021279468,0.30242952422617825,0.013604851242540943,
7,PayZone_encoded,LR,with,0.309,0.017275544693133256,0.3064910653609929,0.01805751599001218,
7,PayZone_encoded,RF,without,0.321,0.022720524250602617,0.3200999674957554,0.022498877039323985,
7,PayZone_encoded,RF,with,0.33199999999999996,0.018147543451754924,0.3317249430806614,0.01762395371682614,
7,PayZone_encoded,XGB,without,0.31899999999999995,0.007498147919467993,0.3168289633525318,0.007905519842803464,
7,PayZone_encoded,XGB,with,0.3226666666666667,0.0107289846262874,0.3208954794558865,0.011419739930223194,
7,SeniorityLevel,LR,without,0.8276666666666666,0.01691810338726603,0.8863797796861279,0.011376603097050068,
7,SeniorityLevel,LR,with,0.8380000000000001,0.015825436627292296,0.8830267600769744,0.01458439875006578,
7,SeniorityLevel,RF,without,0.9450000000000001,0.005270462766947273,0.9386908386723661,0.004928679759674986,
7,SeniorityLevel,RF,with,0.9686666666666668,0.0057154760664940825,0.9682534195020779,0.005816343657694872,
7,is_minority_dept,LR,without,0.5053333333333333,0.01582543662729228,0.5043222758064292,0.018726108487453534,0.5530474989491383
7,is_minority_dept,LR,with,0.5523333333333332,0.027640549922170504,0.5563844455677286,0.028124181234248,0.5604525711083088
7,is_minority_dept,RF,without,0.594,0.024326483054025277,0.5805762566759224,0.024885338722638147,0.5740950913082061
7,is_minority_dept,RF,with,0.5983333333333334,0.019916492328386205,0.58649448230007,0.021234359322858047,0.5891586100602494
7,is_minority_dept,XGB,without,0.6286666666666666,0.021380156947766116,0.6069352403084675,0.02073600064883952,0.6045373873242725
7,is_minority_dept,XGB,with,0.6279999999999999,0.01848122170083881,0.6012615612815149,0.020494039173051905,0.612358133669609
8,is_terminated,LR,without,0.72,0.02035790864613662,0.7645314878734204,0.01636113221448405,0.8005005202143727
8,is_terminated,LR,with,0.6913333333333334,0.010873004286866727,0.7419766331236216,0.008784334574941245,0.8169991505555559
8,is_terminated,RF,without,0.8516666666666668,0.009006170724070861,0.8245649290106538,0.011723441513544134,0.8267767310672962
8,is_terminated,RF,with,0.8460000000000001,0.008537498983243807,0.8232522489152825,0.010444268385707643,0.8401460829132749
8,is_terminated,XGB,without,0.8583333333333334,0.005163977794943213,0.8268317692056399,0.005498473467300706,0.8354477507259863
8,is_terminated,XGB,with,0.8569999999999999,0.010187137859957415,0.8303626753827356,0.009815962688254447,0.8473681495192011
8,PerfScore,LR,without,0.27199999999999996,0.014922019523732927,0.3527045243804398,0.016853302550092316,
8,PerfScore,LR,with,0.30933333333333335,0.021255064755906477,0.38849941951596917,0.02334969816775198,
8,PerfScore,RF,without,0.7403333333333333,0.007986099033807268,0.6863951104674717,0.010251213621071944,
